F1 (to 1101), 8.86 MVA,F2 (to 1141), 8.86 MVA,F3 (to 1202), 8.86 MVA
4.307233715017679287e+01,8.018728121002372689e+01,9.701333994189961629e+01
4.682947286797412545e+01,8.702391534383512806e+01,1.057124450548029131e+02
4.634523293545223055e+01,8.645862780877597231e+01,1.042875604746854492e+02
4.319805832742661522e+01,8.087003673658358593e+01,9.729607864403014617e+01
4.196198281050464374e+01,7.818094160620510991e+01,9.399028221020994067e+01
3.854365921898277492e+01,7.164399223720187138e+01,8.606885937881264681e+01
3.734924243856371362e+01,7.033436689110658335e+01,8.391083932376336918e+01
3.368392311840730713e+01,6.344659806193377705e+01,7.543946344069077270e+01
3.223204010811845421e+01,6.036420361810574775e+01,7.211664101650129055e+01
3.074946241377454470e+01,5.800675737763002360e+01,6.914407547207652271e+01
3.354864685068739760e+01,6.313629534747324357e+01,7.532376824011274152e+01
3.151468455192729934e+01,5.920223697214498770e+01,7.076953868289282923e+01
3.871479061979613334e+01,7.247790307099290885e+01,8.662892169184441116e+01
4.142490433752056589e+01,7.760479874138984258e+01,9.219129831821091159e+01
4.785916964770111548e+01,8.989542562904598810e+01,1.074160457521031304e+02
4.668402108516873028e+01,8.750338883950632862e+01,1.043670983227790003e+02
4.265343902231285966e+01,8.007017601171402532e+01,9.544023462623846399e+01
4.239962117938936359e+01,7.993676447355397841e+01,9.483825171078495941e+01
3.553826470133079596e+01,6.690132509224842750e+01,7.928503485647507887e+01
3.408825229382152600e+01,6.405852617329458099e+01,7.581868155466455050e+01
3.530453564648338727e+01,6.658704820353214870e+01,7.901612958293213751e+01
3.516390540591705616e+01,6.548429510600338688e+01,7.785447135878523284e+01
3.431035101426776635e+01,6.347053306961397823e+01,7.561856268321751884e+01
3.425856189442305322e+01,6.326820677071752641e+01,7.563426665310713304e+01
3.622447262427480297e+01,6.711139679466224095e+01,8.032554823190201887e+01
3.608304449420757010e+01,6.640405424989063476e+01,7.921269378754111301e+01
3.675698822527261456e+01,6.802996768968279184e+01,8.117772865843483032e+01
3.826781303908060039e+01,7.127564747266382028e+01,8.496515184107572338e+01
3.958704104493529741e+01,7.357067906367926469e+01,8.765056511643331305e+01
4.010053280555283806e+01,7.469635092179798619e+01,8.913204395577827199e+01
4.121527368413580916e+01,7.689111831157555343e+01,9.139423249483533596e+01
4.222673639074593410e+01,7.885394525598049142e+01,9.357440351314764371e+01
5.276507913561832908e+01,9.877691145199014500e+01,1.179359492974319465e+02
5.449960775758500375e+01,1.026261366102294375e+02,1.226056139997949970e+02
6.534365783085351609e+01,1.224494618210618313e+02,1.477364810527635939e+02
6.625907218719014224e+01,1.243133494552284901e+02,1.496471763731427984e+02
6.973779159030726760e+01,1.307118271349858389e+02,1.575356806246841188e+02
6.996123111049928411e+01,1.314046706587581355e+02,1.581403030472456521e+02
6.585206872525283472e+01,1.237769141403593238e+02,1.488173826766002321e+02
6.550441537041254492e+01,1.232518141847756965e+02,1.480078815851935872e+02
6.153277372816000224e+01,1.159163059208088100e+02,1.383275663931427744e+02
6.150867189360160836e+01,1.155434872703053202e+02,1.377067829377855901e+02
5.799765406035906068e+01,1.084207278649411279e+02,1.285012221798116343e+02
5.555748072829869955e+01,1.033621889653496453e+02,1.228834919604031626e+02
4.901503793071513115e+01,9.099955132663241386e+01,1.087609183323410065e+02
4.561119452305648281e+01,8.448825312983103686e+01,1.015524923665066410e+02
4.307793708767779606e+01,7.965533619112386532e+01,9.667568040657222639e+01
4.267709201133631325e+01,7.875249912225024218e+01,9.581503804237480892e+01
