MV voltage: 0.0% quantile,MV voltage: 25.0% quantile,MV voltage: 50.0% quantile,MV voltage: 75.0% quantile,MV voltage: 100.0% quantile
1.019641628285754553e+00,1.032847064285291383e+00,1.034983851823395806e+00,1.035588549684257398e+00,1.036612161345816574e+00
1.019523239854360996e+00,1.030427440791047200e+00,1.033229572555828035e+00,1.034155841642610429e+00,1.035341774882060362e+00
1.019475443357656053e+00,1.029772709003206055e+00,1.032635485849038748e+00,1.033648464373048581e+00,1.035021274979841754e+00
1.019395873012484577e+00,1.028381073226388498e+00,1.031584254847336624e+00,1.032757102752827505e+00,1.034287830041812128e+00
1.019251700059345955e+00,1.036881939494374683e+00,1.040612349710410500e+00,1.042073970784303416e+00,1.043875829681529144e+00
1.007078239697083877e+00,1.021115695409078317e+00,1.028233536803287773e+00,1.031391708659041395e+00,1.035341220670904505e+00
1.012442448252387939e+00,1.028114073590213451e+00,1.036094928015330874e+00,1.039588812226893699e+00,1.043992635320367013e+00
9.987090419728945623e-01,1.021039246918452381e+00,1.033299275634972814e+00,1.038618584725584881e+00,1.044695888410564599e+00
9.920212595579160908e-01,1.016485573028060418e+00,1.029659746299610212e+00,1.035366723237134190e+00,1.041955127123836755e+00
9.776508522362512554e-01,1.009048735352278126e+00,1.021830172207229159e+00,1.028443754192780224e+00,1.036095127834972152e+00
9.733628155792263259e-01,1.006304945199062439e+00,1.019418566899277900e+00,1.026343223530423066e+00,1.034298403226135532e+00
9.817034065670290355e-01,1.011837755718524079e+00,1.024126203049992023e+00,1.030480965242271285e+00,1.037760516635159780e+00
9.765676123161107780e-01,1.008347155698890996e+00,1.021228259136868433e+00,1.027910457016818047e+00,1.035568587029475962e+00
9.851202270434306074e-01,1.014028714048547553e+00,1.025803023496133504e+00,1.031981455994022578e+00,1.039160003469917548e+00
9.846997352476619669e-01,1.013796109804018464e+00,1.025566228963891602e+00,1.031783480947817466e+00,1.039003726239526637e+00
9.923114635299892239e-01,1.016661455810814241e+00,1.029892821317158758e+00,1.035566598567483121e+00,1.042202615786675279e+00
9.945101300282687129e-01,1.018166623835576434e+00,1.031123259004240289e+00,1.036662568518755378e+00,1.043131670692947655e+00
9.988667670278502664e-01,1.018286014651158755e+00,1.028860762963435427e+00,1.033361095883926106e+00,1.038759684923327820e+00
1.002953254070122036e+00,1.021158907013872907e+00,1.031095870977699169e+00,1.035335241168456433e+00,1.040417195490421109e+00
1.018238402308782042e+00,1.031773565099738832e+00,1.039211881804946502e+00,1.042461112404319490e+00,1.046225233977837066e+00
1.018281858735954115e+00,1.032157200074229397e+00,1.039511309983431886e+00,1.042720335167179657e+00,1.046440635242259276e+00
