Prmy. Sub. Util.,Sdry. Sub. Util.1108 (800 kVA),Sdry. Sub. Util.1109 (315 kVA),Sdry. Sub. Util.1151 (800 kVA),Sdry. Sub. Util.1158 (800 kVA),Sdry. Sub. Util.1175 (800 kVA)
1.955788531420743226e+01,1.773008039294390414e+01,1.964428951369451681e+01,2.529153284175994543e+01,2.093032955383215210e+01,1.480699631149426132e+01
1.793811989308193944e+01,1.566789887071857201e+01,1.775154580400634075e+01,2.388864888188639313e+01,1.930898133716972254e+01,1.358482081720310219e+01
1.508038325902120391e+01,1.217703534893067108e+01,1.421003846282661165e+01,2.003159258237461415e+01,1.567207792622895113e+01,1.234899138962950005e+01
1.033457296048631235e+01,7.253800106639053169e+00,9.320930090531170720e+00,1.377536044409505145e+01,9.810536725021682614e+00,7.908416761227393010e+00
7.947774625801891979e+00,4.621359508211168254e+00,7.764257494989211139e+00,9.815993036312772091e+00,7.312085138491128511e+00,6.274933480988326373e+00
7.623331053675210356e+00,5.159152760639815760e+00,6.618076097923498935e+00,9.398940121013623639e+00,8.305452154092115791e+00,5.567873969482132424e+00
6.171355947212927795e+00,2.936907670329042652e+00,4.911592223768042942e+00,8.010985866520920595e+00,5.512475741714593092e+00,3.559109911597412079e+00
6.073518876538431144e+00,4.004853300222504409e+00,2.205126667237821358e+00,8.716746207002739055e+00,4.716972903845760179e+00,3.930505974671649305e+00
6.171650591423272658e+00,4.386977032340442229e+00,4.024484924244063677e+00,8.184402393947461718e+00,4.780034742987785634e+00,4.141863507670525912e+00
8.222680100340161502e+00,7.435083703813479161e+00,6.922620452749966624e+00,1.120372337773953930e+01,6.658148294410905166e+00,5.494395718208770596e+00
8.871777167972556555e+00,7.661939789595347605e+00,8.034888799737744947e+00,1.138459812209946698e+01,7.670724330357015397e+00,6.373897637080450096e+00
1.008732106979723753e+01,9.268885786089525070e+00,1.060315527215401943e+01,1.290414747538295082e+01,9.203122555639945190e+00,8.189414467507852180e+00
1.231073392807925337e+01,1.154514050984266760e+01,1.511576140645277810e+01,1.634446305983264836e+01,1.132184849885564049e+01,9.707548178668247374e+00
2.556077997938940172e+01,2.763474040372496177e+01,2.979365049232407614e+01,3.456079672851619478e+01,2.734811400752595389e+01,2.016280915868333423e+01
2.871123542884573254e+01,3.110963831355919496e+01,3.291605795455117800e+01,3.920584780696962213e+01,3.075691130801853745e+01,2.206859713233027520e+01
4.189812759223649863e+01,4.798207319978614294e+01,4.978579357297522279e+01,5.720440658694853653e+01,4.654935203313308278e+01,3.295187737875164657e+01
4.527436309978230611e+01,5.264455930587167387e+01,5.441820221163052196e+01,6.135006143414911861e+01,4.966198060979034068e+01,3.618832463662144505e+01
5.219726784171934497e+01,6.069963730741644525e+01,6.165366394688700780e+01,7.200024204207770140e+01,5.689542246954447080e+01,4.308027799563617322e+01
5.425531718268363335e+01,6.318575283058264347e+01,6.348867369447072662e+01,7.504277169647419043e+01,5.972092531422710948e+01,4.519765320888650706e+01
5.019262714965508110e+01,5.803663364079326925e+01,5.904781149083589753e+01,6.904914945795242431e+01,5.506034251130886048e+01,4.206889516558027253e+01
5.274674599753490867e+01,6.057966049610806891e+01,6.179994717907939616e+01,7.189054191938663507e+01,5.800451615487395429e+01,4.417705275403766052e+01
4.864692950051767895e+01,5.559364967505696598e+01,5.720989082904382883e+01,6.542249157979891550e+01,5.356268855705702947e+01,3.961190231627423941e+01
4.884128408734984106e+01,5.589014204983426026e+01,5.730010060094079449e+01,6.558980105605358801e+01,5.380398411932592495e+01,3.956502059562685503e+01
4.497710580083549559e+01,5.123112486552360423e+01,5.139375877543157145e+01,6.064639869208553336e+01,4.917103040803305447e+01,3.695270210471168326e+01
4.383000302485747568e+01,5.020127189235599729e+01,5.019828485111306549e+01,5.917757089805257920e+01,4.804140492344264146e+01,3.613695007137262394e+01
3.575696290219207896e+01,4.086982364177060845e+01,4.088596835780833771e+01,4.811308077343917233e+01,3.913646321227643909e+01,2.932302189864853048e+01
3.353394899944506591e+01,3.871888220864188668e+01,3.844425282412490930e+01,4.533539153498070107e+01,3.701521393378936153e+01,2.782122262749145136e+01
2.543197047825865198e+01,2.901482924256945850e+01,2.845057116463431157e+01,3.426990224731291335e+01,2.757157463168370271e+01,2.101102773986186989e+01
2.512056198840524246e+01,2.870994371559810432e+01,2.813295545124278263e+01,3.388597826908130628e+01,2.727337957621706366e+01,2.079413599170448279e+01
