0% quantile: LV Network: 1108,25% quantile: LV Network: 1108,50% quantile: LV Network: 1108,75% quantile: LV Network: 1108,100% quantile: LV Network: 1108,0% quantile: LV Network: 1109,25% quantile: LV Network: 1109,50% quantile: LV Network: 1109,75% quantile: LV Network: 1109,100% quantile: LV Network: 1109,0% quantile: LV Network: 1151,25% quantile: LV Network: 1151,50% quantile: LV Network: 1151,75% quantile: LV Network: 1151,100% quantile: LV Network: 1151,0% quantile: LV Network: 1158,25% quantile: LV Network: 1158,50% quantile: LV Network: 1158,75% quantile: LV Network: 1158,100% quantile: LV Network: 1158,0% quantile: LV Network: 1175,25% quantile: LV Network: 1175,50% quantile: LV Network: 1175,75% quantile: LV Network: 1175,100% quantile: LV Network: 1175
1.058466932018848672e+00,1.070897193148017790e+00,1.073672885499622698e+00,1.077051957154188777e+00,1.082316412058485389e+00,1.049247498807488466e+00,1.053722665512337286e+00,1.061083954145965125e+00,1.068327778734543987e+00,1.081858890288021735e+00,1.034904736031253991e+00,1.045996629734668115e+00,1.058610966122691233e+00,1.066359720642135134e+00,1.074747706122317181e+00,1.012689288657720565e+00,1.038782786308106276e+00,1.050353324056305659e+00,1.054671685686436433e+00,1.061714921694736802e+00,1.025491086662621898e+00,1.042304911458747041e+00,1.046638573499269143e+00,1.050649008800808692e+00,1.054707137860080524e+00
1.058605473340826331e+00,1.071214261102084286e+00,1.073822429126678912e+00,1.077433795181870657e+00,1.082613601927738589e+00,1.049242830966821138e+00,1.053820096668964812e+00,1.061271343726377436e+00,1.068530782528869238e+00,1.082025939440398599e+00,1.035373116336327337e+00,1.046514238497680438e+00,1.058451910229542881e+00,1.066809936142985915e+00,1.074755653881988904e+00,1.013687190329186416e+00,1.039314937030990205e+00,1.050661320671396171e+00,1.054737404886224139e+00,1.061825013533820306e+00,1.025621727854056697e+00,1.042632195004415063e+00,1.046977577683647631e+00,1.050828774046523861e+00,1.055004029361465312e+00
1.045060306398064132e+00,1.061284995166563272e+00,1.065289149272005353e+00,1.069567046351918904e+00,1.076809257784907103e+00,1.037272943172667050e+00,1.040839765242027593e+00,1.050566131179451412e+00,1.058618417066562678e+00,1.076256152290054446e+00,1.017982625576622890e+00,1.033210019012468450e+00,1.045672346735449176e+00,1.055358027934973686e+00,1.065925841709264965e+00,9.672499379912121720e-01,1.022335731679237636e+00,1.037011466633041001e+00,1.043423842560750714e+00,1.051102927641631490e+00,1.002792924627193383e+00,1.023920791164771860e+00,1.032510704453035721e+00,1.036665172277125624e+00,1.042542532422142232e+00
1.043855787024675408e+00,1.059984505815090294e+00,1.063942594135455000e+00,1.068607710252031273e+00,1.076188842657226363e+00,1.034423034876333691e+00,1.038767351289143104e+00,1.049143183954367009e+00,1.057357692083188638e+00,1.075378120697053186e+00,1.014973862796082704e+00,1.029699013359934412e+00,1.043180992218025294e+00,1.054310543965760072e+00,1.064604401280993207e+00,9.650066023044715502e-01,1.019879927533186237e+00,1.034852928647197912e+00,1.041564109040026054e+00,1.049605140828867800e+00,9.989771004383942721e-01,1.023114845383321869e+00,1.030065153405867573e+00,1.035103228237911122e+00,1.040787540504576336e+00
1.043723340812652500e+00,1.058369278574681216e+00,1.062992829859574551e+00,1.069050239564877325e+00,1.078206018404005873e+00,1.025072728311786641e+00,1.031814379247500968e+00,1.044010646140888454e+00,1.054739180766739004e+00,1.076144514706835142e+00,9.974683760637467200e-01,1.022144031885999338e+00,1.033300727678087005e+00,1.051406608350450078e+00,1.065494923260106752e+00,9.638819748967648593e-01,1.006134903565909067e+00,1.026946220506821605e+00,1.035584934782167510e+00,1.046607375484693403e+00,9.819981766716793237e-01,1.009470093765757248e+00,1.022809830986136204e+00,1.025471858616266774e+00,1.034765010793436524e+00
1.044969837915051825e+00,1.059469094543516343e+00,1.064256494383847951e+00,1.070179058279474127e+00,1.079715882582342301e+00,1.026378452624777893e+00,1.033523702770321684e+00,1.045066474650495625e+00,1.056124920863825700e+00,1.077374968674165379e+00,9.961769734471205284e-01,1.021855286598610135e+00,1.036414359469777446e+00,1.053113122048647154e+00,1.066648607506258672e+00,9.656360609815982654e-01,1.007655687881890527e+00,1.029558316503191406e+00,1.037651726899201376e+00,1.047941911112866498e+00,9.824059234289176379e-01,1.011683939567848523e+00,1.024407414168523767e+00,1.027070527156889845e+00,1.036454545070129019e+00
1.035254945423634609e+00,1.055980581610714175e+00,1.060601585613977438e+00,1.066805456518629791e+00,1.073248506358584153e+00,1.023032497877879532e+00,1.032609810251519766e+00,1.041240917968849100e+00,1.052323530246714434e+00,1.069820565431757187e+00,9.882765323841297134e-01,1.023498969370805867e+00,1.040962668759136678e+00,1.051637396723815066e+00,1.061783065655737213e+00,9.764113702262111616e-01,1.009213452698395574e+00,1.026786703865380401e+00,1.034393511163139490e+00,1.043705891562336729e+00,9.931688086944344684e-01,1.017324471484863047e+00,1.023148146465465258e+00,1.029646945848481376e+00,1.034455119047951399e+00
1.040303585130712749e+00,1.061712710792982017e+00,1.066510171453410427e+00,1.071885098594430819e+00,1.078945219241131959e+00,1.033908264605592597e+00,1.042459850230451623e+00,1.049103654025670851e+00,1.059100026301835307e+00,1.075674278793482763e+00,1.000803888983244905e+00,1.033908526957465046e+00,1.048008932816024474e+00,1.058108036397466867e+00,1.066992034315077831e+00,9.882269585349561236e-01,1.019094050472017843e+00,1.035536331732762605e+00,1.043217574943940962e+00,1.050537611426710205e+00,1.001951313169148650e+00,1.025442793746054404e+00,1.030908661210244048e+00,1.037510370212446187e+00,1.042878363392820251e+00
1.053542270119703472e+00,1.066206841832120666e+00,1.069736029759866147e+00,1.073369992373933268e+00,1.079255265194217772e+00,1.049102366947099352e+00,1.052956834618932414e+00,1.058438655069289247e+00,1.062862042037244326e+00,1.075497200433393141e+00,1.026247923301926601e+00,1.045839559187778711e+00,1.054456045606857684e+00,1.065451670684931740e+00,1.073660590229461587e+00,1.021334305892130256e+00,1.037932330160967531e+00,1.048024907085509883e+00,1.053544814121594175e+00,1.058104687944825484e+00,1.020231456056540198e+00,1.040811579176809554e+00,1.045914226792401314e+00,1.052212622455313218e+00,1.057390650681308664e+00
1.060318866675882932e+00,1.071460194356590012e+00,1.075444730695822138e+00,1.078429983802118297e+00,1.084423562616845693e+00,1.057804252231537179e+00,1.062145624510970165e+00,1.067088447518655725e+00,1.070616199125203227e+00,1.081699275207814059e+00,1.034156683445917935e+00,1.054454856315400146e+00,1.062524282130528741e+00,1.071008628814957397e+00,1.082241065648485767e+00,1.034435292333863998e+00,1.047977699566196241e+00,1.055856004566200657e+00,1.061046962645789016e+00,1.065927940261627072e+00,1.031028120510486978e+00,1.048586285183139566e+00,1.054400051424803308e+00,1.060899296768351929e+00,1.066172002308405142e+00
