MV voltage: 0.0% quantile,MV voltage: 25.0% quantile,MV voltage: 50.0% quantile,MV voltage: 75.0% quantile,MV voltage: 100.0% quantile
1.020156025847583914e+00,1.035730593879691686e+00,1.039116733076574262e+00,1.041326875358389970e+00,1.066022986743812462e+00
1.020153953174763872e+00,1.035059902843891821e+00,1.038916180314277904e+00,1.041311258751653757e+00,1.068785832009562897e+00
1.020166204717107838e+00,1.035201188244295523e+00,1.039057327820447574e+00,1.041451717225184925e+00,1.069316455765496388e+00
1.020325080289166353e+00,1.037677098564720124e+00,1.041110308108793125e+00,1.043267138019073226e+00,1.073659156899253730e+00
1.020317882229986095e+00,1.037587600182904968e+00,1.041021338937906826e+00,1.043178387330310875e+00,1.073239589850388365e+00
1.020379462276560067e+00,1.038086668499203391e+00,1.041752247949078614e+00,1.044035621835689653e+00,1.078639030655039299e+00
1.020370082512474852e+00,1.037966799094771186e+00,1.041632909845531474e+00,1.043881303716847508e+00,1.078098237503301249e+00
1.020321743789721625e+00,1.036974990598680479e+00,1.040899666786283095e+00,1.043338769336677574e+00,1.077139199728081698e+00
1.020390881128035332e+00,1.037867198224225351e+00,1.041787777156876205e+00,1.044224618633519786e+00,1.081252671606192983e+00
1.020280863025142537e+00,1.035923360069278321e+00,1.040048339846469050e+00,1.042767972048589398e+00,1.076100962522299032e+00
1.020257540511690708e+00,1.035637955385135367e+00,1.039763944120303485e+00,1.042469152409972510e+00,1.075065675227525386e+00
1.020227282586331663e+00,1.035666472851132447e+00,1.039663010363372608e+00,1.042106514144504281e+00,1.072988218125397131e+00
1.020145168105900613e+00,1.034703691733251940e+00,1.038704690478396975e+00,1.041160657241102294e+00,1.069296492441432989e+00
1.015082539932448347e+00,1.025252469849605497e+00,1.031529184442204095e+00,1.035440722316590012e+00,1.062929624222631375e+00
1.013735411793239116e+00,1.023918058660311825e+00,1.030200921629795374e+00,1.034101920733751623e+00,1.058508345855132093e+00
1.010355382932807133e+00,1.024112978288237663e+00,1.032561881459790332e+00,1.037948583145641201e+00,1.059355003502591819e+00
1.009628006883272588e+00,1.023395596141423169e+00,1.031851390313007544e+00,1.037246016115323188e+00,1.057178246524673293e+00
1.002604466392688742e+00,1.018231120221711805e+00,1.027295897534732827e+00,1.032785958772176382e+00,1.050676124891642749e+00
1.003289486946046027e+00,1.018696808292592459e+00,1.027963089559479348e+00,1.033648974871085313e+00,1.052643185501620282e+00
1.007998053166325958e+00,1.021128663014718940e+00,1.029281324391133401e+00,1.033526423594751886e+00,1.048019500767578549e+00
1.007580874552522765e+00,1.020716988958404681e+00,1.028872404750848846e+00,1.032506950096986564e+00,1.046910592263812223e+00
1.012264307490894133e+00,1.023778660278429786e+00,1.030587705229565998e+00,1.032802460176601933e+00,1.044225860798506877e+00
1.014827722844104940e+00,1.026311501554808991e+00,1.033455289137070965e+00,1.037696679317519077e+00,1.051612303691991546e+00
1.014052300037152410e+00,1.021994564152234553e+00,1.028393864328765117e+00,1.031543846470013293e+00,1.036367728281401224e+00
1.013300154245493578e+00,1.020146025586292193e+00,1.027602855060621767e+00,1.030804267749131586e+00,1.035008973715569658e+00
1.018681826909755950e+00,1.027090162805703644e+00,1.033013045604530999e+00,1.035476231100231015e+00,1.038810551349903522e+00
1.018683872039262139e+00,1.027134196653064269e+00,1.033031286330305498e+00,1.035494468343358676e+00,1.038828673917427059e+00
1.019142088712215122e+00,1.034886734133168229e+00,1.039004089901060857e+00,1.040609062043569955e+00,1.042960543586996858e+00
1.019137247601927809e+00,1.034767291149240709e+00,1.038959112180620092e+00,1.040564140802854531e+00,1.042915712705166476e+00
