0% quantile: LV Network: 1101,25% quantile: LV Network: 1101,50% quantile: LV Network: 1101,75% quantile: LV Network: 1101,100% quantile: LV Network: 1101,0% quantile: LV Network: 1103,25% quantile: LV Network: 1103,50% quantile: LV Network: 1103,75% quantile: LV Network: 1103,100% quantile: LV Network: 1103,0% quantile: LV Network: 1105,25% quantile: LV Network: 1105,50% quantile: LV Network: 1105,75% quantile: LV Network: 1105,100% quantile: LV Network: 1105
1.044002928688903431e+00,1.064289414550190660e+00,1.081734268110209785e+00,1.096734306189904196e+00,1.111637930138075658e+00,1.062956790354804282e+00,1.066856023068837089e+00,1.084654660721086072e+00,1.090048048419792748e+00,1.102248901796349045e+00,1.013420670680921676e+00,1.057170463105372882e+00,1.079597133706624579e+00,1.095184096093291481e+00,1.101224757141954225e+00
1.032703617881290947e+00,1.057340834754131986e+00,1.078487196518466806e+00,1.092500082931702643e+00,1.111469245331669020e+00,1.062157136979506422e+00,1.064774079580882660e+00,1.074359575257531452e+00,1.095738177399702362e+00,1.109088191111412547e+00,1.010909047961900287e+00,1.049130781693264014e+00,1.075888190554066703e+00,1.089202487522028084e+00,1.102056790736762437e+00
1.029512716767700731e+00,1.049880262550419552e+00,1.074734681828485305e+00,1.090547806879554660e+00,1.112371251444594700e+00,1.057242903742997786e+00,1.066067666696759009e+00,1.075910921388582908e+00,1.082202375065537847e+00,1.103199058159773260e+00,1.003821309995307942e+00,1.045425191764997708e+00,1.069476293036722092e+00,1.080120532838203973e+00,1.099062718380912518e+00
1.016163723246611417e+00,1.048358091435639405e+00,1.072602268579242013e+00,1.089702235448116063e+00,1.114793970506949838e+00,1.051265900668188369e+00,1.072504543042033687e+00,1.074451964514917757e+00,1.077037931292726736e+00,1.099254125784551839e+00,9.970433794904333125e-01,1.044793769326306077e+00,1.067476775826173396e+00,1.078939088369813559e+00,1.100762475135392382e+00
1.003009171900077767e+00,1.040363862445128351e+00,1.063197197718132037e+00,1.092425675617076930e+00,1.118921090328116374e+00,1.022103421494161113e+00,1.054372532582645849e+00,1.066521482590654823e+00,1.079728173959184190e+00,1.108707898251041435e+00,1.004419917148856811e+00,1.031038455496688488e+00,1.058661788683785909e+00,1.069524510979829701e+00,1.099651086486186369e+00
9.797034690612435037e-01,1.043248546390892706e+00,1.065129229622397977e+00,1.083428508760463371e+00,1.120995595696283598e+00,1.020026224296304740e+00,1.052775976672757796e+00,1.062872064223293611e+00,1.076779195564721459e+00,1.106091629717402380e+00,9.737831227567931291e-01,1.023630222444416260e+00,1.048215225871153011e+00,1.064509596527809965e+00,1.098658995634027358e+00
9.474625842833233058e-01,1.023416347675496718e+00,1.049452234718176280e+00,1.068310142555205733e+00,1.110255089925342054e+00,9.587480043730922663e-01,1.023911336904031355e+00,1.027681015893223027e+00,1.060216851149418327e+00,1.106541706731076324e+00,9.161502418767455413e-01,9.970321171669181970e-01,1.021114258118999585e+00,1.044871404169958939e+00,1.082768192029911702e+00
9.506788403468631188e-01,1.029763819465487895e+00,1.042470138524582923e+00,1.067639650765172421e+00,1.104864131063356680e+00,9.653367491975471948e-01,1.012436027983989462e+00,1.028122156512504715e+00,1.071567219997631604e+00,1.106089927518955962e+00,8.700316254904960633e-01,9.898171497240797478e-01,1.011143401510818274e+00,1.043819272896136852e+00,1.075879547935148173e+00
9.760873515356810470e-01,1.015398298532317778e+00,1.036625326861990271e+00,1.062510030432697317e+00,1.090775517341552536e+00,9.654141810293044301e-01,1.005935755765741124e+00,1.017995039448952088e+00,1.041810696674378089e+00,1.089919264254269882e+00,8.352062112315533637e-01,9.747019471740381302e-01,1.003986766851119761e+00,1.038301723940892707e+00,1.073097313248353446e+00
9.844034317067494877e-01,1.015532661629751310e+00,1.037309028505382091e+00,1.055902749044538957e+00,1.084826651862587310e+00,9.512884518716789861e-01,9.917883502853517275e-01,1.003957060161661197e+00,1.051068250250359437e+00,1.096562613954375154e+00,8.655802606951492617e-01,9.615043591020872027e-01,9.966033669682066165e-01,1.035628023010855658e+00,1.070084361526091987e+00
9.866082079953589767e-01,1.016498731089739760e+00,1.039545198506195200e+00,1.055560506713298263e+00,1.084914230353208664e+00,9.773812412122862003e-01,9.944152530818302083e-01,1.016781492825186817e+00,1.046535713683952595e+00,1.092962276724263937e+00,8.517195700846096340e-01,9.638328360230454805e-01,1.008312310547156976e+00,1.044019109229889830e+00,1.076988999462894503e+00
