MV voltage: 0.0% quantile,MV voltage: 25.0% quantile,MV voltage: 50.0% quantile,MV voltage: 75.0% quantile,MV voltage: 100.0% quantile
1.017471122513565529e+00,1.047613162814775123e+00,1.057607670965984070e+00,1.062346552493989016e+00,1.067659112904793206e+00
1.017341725379843131e+00,1.046037058165128375e+00,1.056537200486168615e+00,1.061367819381808797e+00,1.067001511877324171e+00
1.017109871236016927e+00,1.043221002942611886e+00,1.054429340131605386e+00,1.059611365758765356e+00,1.065678386530310773e+00
1.016910006487496299e+00,1.040634073600072096e+00,1.052559990560433034e+00,1.058064858069136083e+00,1.064384652228394401e+00
1.015206339012037384e+00,1.038820215574783434e+00,1.051199543101864586e+00,1.057007784367401948e+00,1.063469687044600320e+00
1.011117444407751087e+00,1.036165540430766363e+00,1.049281815049282196e+00,1.055225191392564543e+00,1.062311989923979905e+00
1.007383515491180104e+00,1.033592324053619782e+00,1.047419036537047266e+00,1.053807753161176919e+00,1.060819467368692148e+00
9.832226832177941578e-01,1.017452193575374864e+00,1.035593233654066303e+00,1.043872034000000948e+00,1.052772516009202519e+00
9.779950049327952311e-01,1.014683459168717716e+00,1.033043075679327405e+00,1.041788989054000414e+00,1.050843269212589970e+00
9.643539800396518924e-01,1.010506519504762446e+00,1.031326494301739949e+00,1.041854174506745334e+00,1.052818681468507434e+00
9.622354514358495425e-01,1.009137794696760349e+00,1.030195515758901337e+00,1.040875194741055054e+00,1.052144630787894997e+00
9.660523473051957355e-01,1.012553486108654033e+00,1.037090794490390211e+00,1.048179615302318624e+00,1.059963670720845963e+00
9.654963427133245180e-01,1.012446152650835707e+00,1.036824435286241464e+00,1.047982888060085216e+00,1.059559346519738376e+00
9.749251684547446395e-01,1.018468674207345881e+00,1.041633860284506552e+00,1.052154886784370191e+00,1.063088140765119816e+00
9.756871114847583959e-01,1.019028603683366674e+00,1.042003684409530395e+00,1.052500181417288072e+00,1.063371242495525726e+00
9.851725940419177041e-01,1.025482702763550247e+00,1.046744098172477377e+00,1.056523651387795804e+00,1.066709183127202865e+00
9.858494898985573629e-01,1.025674999017523348e+00,1.047101139849363483e+00,1.056727157193182887e+00,1.066871466366529742e+00
9.948688773266169960e-01,1.031721151276865367e+00,1.051597618078730534e+00,1.060551963143890219e+00,1.070049494839365734e+00
1.000391394720209881e+00,1.035416621693080685e+00,1.054452550767694952e+00,1.063050420548520503e+00,1.071939687998079149e+00
1.002575029077642732e+00,1.033668831878510996e+00,1.050490144255215030e+00,1.058185046394196860e+00,1.066153567335826891e+00
1.009540063234958485e+00,1.038469585907191073e+00,1.054063847095151107e+00,1.061206225546348580e+00,1.068622606409848519e+00
1.002864918722375265e+00,1.030578834238486952e+00,1.045606101854222869e+00,1.052449072600015079e+00,1.059461378428434131e+00
1.003715736171430173e+00,1.031136307320257295e+00,1.046038743938628279e+00,1.052808574700214272e+00,1.059784863385730080e+00
