MV voltage: 0.0% quantile,MV voltage: 25.0% quantile,MV voltage: 50.0% quantile,MV voltage: 75.0% quantile,MV voltage: 100.0% quantile
1.019112356670786257e+00,1.025390017775901885e+00,1.026592686317963077e+00,1.029501120444533235e+00,1.040240885119995795e+00
1.019112481828237105e+00,1.025395371867523941e+00,1.026596807130560451e+00,1.029505442403398030e+00,1.040243087441089731e+00
1.012762600053614737e+00,1.015754300362981422e+00,1.017595116789993481e+00,1.022167391232071454e+00,1.039064836367240785e+00
1.012767900764754314e+00,1.015763568497813685e+00,1.017603648951517226e+00,1.022174547483732709e+00,1.039068655667562346e+00
1.000505984421469874e+00,1.004519416974779311e+00,1.007050433432873815e+00,1.013244065202901778e+00,1.036047149258849887e+00
1.000512730651424320e+00,1.004531155939210052e+00,1.007058837652580641e+00,1.013252835157484988e+00,1.036052125571696125e+00
1.001530444566609557e+00,1.006015159320083452e+00,1.008751378571010715e+00,1.015659206453821461e+00,1.040551351661296531e+00
1.001536518170595746e+00,1.006025677115382155e+00,1.008759515562814180e+00,1.015666887608500213e+00,1.040555900986039228e+00
1.003257454704991503e+00,1.007142584431921506e+00,1.009576113591055258e+00,1.015606066385517314e+00,1.037585371439605275e+00
1.003261236576052484e+00,1.007148999485455665e+00,1.009582210757451248e+00,1.015610962968406916e+00,1.037588189383497950e+00
1.014534527461262048e+00,1.018075709124551365e+00,1.020088229419910064e+00,1.025335042855498147e+00,1.044459655814327315e+00
1.014536846862582387e+00,1.018079731682068223e+00,1.020091248557812413e+00,1.025338121256096358e+00,1.044461350410089917e+00
1.012490317392056305e+00,1.015572320186224342e+00,1.017414611592889040e+00,1.022018168228864043e+00,1.038882487022090073e+00
1.012492246619463687e+00,1.015575979680505059e+00,1.017416856577020301e+00,1.022020777258373148e+00,1.038883881304063284e+00
1.018844463310174531e+00,1.028209974434204810e+00,1.029630138447411580e+00,1.033245078131750372e+00,1.046395058226249564e+00
1.018844572416867100e+00,1.028214727768486103e+00,1.029634537258012017e+00,1.033248680512266926e+00,1.046396934790685185e+00
1.019280401233937372e+00,1.030879361621311219e+00,1.031847542524220618e+00,1.034314427296042060e+00,1.043357026528459519e+00
1.019280540226304765e+00,1.030886217113343495e+00,1.031853780417290478e+00,1.034319519522712394e+00,1.043359538137221376e+00
