0% quantile: LV Network: 1102,25% quantile: LV Network: 1102,50% quantile: LV Network: 1102,75% quantile: LV Network: 1102,100% quantile: LV Network: 1102,0% quantile: LV Network: 1154,25% quantile: LV Network: 1154,50% quantile: LV Network: 1154,75% quantile: LV Network: 1154,100% quantile: LV Network: 1154,0% quantile: LV Network: 1202,25% quantile: LV Network: 1202,50% quantile: LV Network: 1202,75% quantile: LV Network: 1202,100% quantile: LV Network: 1202,0% quantile: LV Network: 1206,25% quantile: LV Network: 1206,50% quantile: LV Network: 1206,75% quantile: LV Network: 1206,100% quantile: LV Network: 1206,0% quantile: LV Network: 1262,25% quantile: LV Network: 1262,50% quantile: LV Network: 1262,75% quantile: LV Network: 1262,100% quantile: LV Network: 1262
1.072092791741858120e+00,1.074797910200055995e+00,1.076332264779267911e+00,1.078427138509545413e+00,1.080882162471714869e+00,1.075162535856319712e+00,1.076240810532056003e+00,1.076411529700897818e+00,1.076476506142856948e+00,1.077047572548884613e+00,1.075756153331555831e+00,1.076512101116025022e+00,1.078892797913438617e+00,1.079408274362181785e+00,1.081511864854419303e+00,1.077839210417865345e+00,1.078565760834634180e+00,1.078931211211799024e+00,1.079589077108552564e+00,1.079909164419630363e+00,1.080084860954012571e+00,1.080357779640141347e+00,1.080663410628795118e+00,1.082014217500279374e+00,1.082197877256702911e+00
1.072089377142761313e+00,1.074794503354572939e+00,1.076328862891270610e+00,1.078423743527622491e+00,1.080878774531999653e+00,1.075159100987954419e+00,1.076237378933507571e+00,1.076408098622826603e+00,1.076473075321874528e+00,1.077044143290524669e+00,1.075752790425887229e+00,1.076508740804475117e+00,1.078889444746656601e+00,1.079404922659775057e+00,1.081508519388262091e+00,1.077835143053349043e+00,1.078561696080002630e+00,1.078927147776263418e+00,1.079585016065500724e+00,1.079905104531009519e+00,1.080081511147834794e+00,1.080354430642191943e+00,1.080660062747008210e+00,1.082010873403380646e+00,1.082194533704035733e+00
1.070801252176911689e+00,1.075316630230660930e+00,1.077760488610727485e+00,1.080106933744545028e+00,1.084194150166341686e+00,1.075002522129745897e+00,1.076908290230473852e+00,1.078346498290903455e+00,1.078681160635932113e+00,1.080135983137593403e+00,1.074538621505500613e+00,1.077249059171889067e+00,1.080793126106098789e+00,1.083073512746320688e+00,1.085606554020817294e+00,1.080138331688474951e+00,1.081322112554300219e+00,1.082423317301605570e+00,1.082939406448486075e+00,1.083682931532975680e+00,1.082235295679387921e+00,1.083722895297376754e+00,1.085224368904896153e+00,1.085701109997873726e+00,1.085849284030756312e+00
1.070796263739476117e+00,1.075311659003525211e+00,1.077755527495183108e+00,1.080101981171449399e+00,1.084189214439028603e+00,1.074997507015395648e+00,1.076903282642073023e+00,1.078341496791219489e+00,1.078676160875683854e+00,1.080130989709018774e+00,1.074533700241290246e+00,1.077244147870436430e+00,1.080788229022517033e+00,1.083068624054758455e+00,1.085601675802777555e+00,1.080132484668837378e+00,1.081316271447585020e+00,1.082417481635833179e+00,1.082933573696950313e+00,1.083677101896284301e+00,1.082230403343477976e+00,1.083718008909693609e+00,1.085219489307274854e+00,1.085696232325479960e+00,1.085844406995444711e+00
1.060368676108662589e+00,1.070572883253710694e+00,1.073254175800150811e+00,1.075584697397766742e+00,1.082313730276699193e+00,1.068000682445801042e+00,1.071099871099283174e+00,1.072686144404696895e+00,1.072928981300064644e+00,1.074634480627440380e+00,1.068501751818263568e+00,1.074516689183472318e+00,1.078608631158771924e+00,1.081935537623640808e+00,1.085031575953847360e+00,1.070573743568570713e+00,1.076890188250513969e+00,1.079370092581625196e+00,1.081167492232574023e+00,1.082316508736430150e+00,1.081281001858563018e+00,1.081795217604959003e+00,1.082577539876969475e+00,1.084273495107070051e+00,1.084754499034863429e+00
1.060362714398169759e+00,1.070566942699988644e+00,1.073248245078510799e+00,1.075578774930356252e+00,1.082307836491078090e+00,1.067994686735547871e+00,1.071093881074284937e+00,1.072680161471339932e+00,1.072922999299917635e+00,1.074628508932159443e+00,1.068495862959978782e+00,1.074510815335541158e+00,1.078602776740731795e+00,1.081929690505514685e+00,1.085025742213145739e+00,1.070566846862824661e+00,1.076883320200929806e+00,1.079363236424331074e+00,1.081160648360411258e+00,1.082309670278359892e+00,1.081275151290284953e+00,1.081789369065289774e+00,1.082571697342973982e+00,1.084267658215101404e+00,1.084748664047968436e+00
1.067796252085759789e+00,1.073079699944996968e+00,1.077451800123967018e+00,1.081034156346678321e+00,1.085709891778830816e+00,1.071600250118237341e+00,1.075244472102295568e+00,1.075726292676565832e+00,1.077612826363427700e+00,1.078517020227898859e+00,1.073088184620703212e+00,1.077279615306122817e+00,1.081439956221863952e+00,1.083074528630465938e+00,1.087264879095563908e+00,1.078446177957978813e+00,1.080465331657558981e+00,1.081239748487192065e+00,1.082617431787148865e+00,1.084456594507630545e+00,1.084004922622086253e+00,1.085383829176176151e+00,1.087373669263038467e+00,1.087592563794715028e+00,1.088994372976778147e+00
1.067791034301639463e+00,1.073074501565359107e+00,1.077446619873484890e+00,1.081028990469267592e+00,1.085704743652814663e+00,1.071595003200329854e+00,1.075239239144803793e+00,1.075721062986926269e+00,1.077607602134107445e+00,1.078511799703212759e+00,1.073083037629666281e+00,1.077274478527316948e+00,1.081434836668934807e+00,1.083069414776619332e+00,1.087259783750849751e+00,1.078440152444390066e+00,1.080459314189044173e+00,1.081233734507344835e+00,1.082611427219404066e+00,1.084450598451006664e+00,1.083999813720783356e+00,1.085378725619807083e+00,1.087368572636582043e+00,1.087587468184336714e+00,1.088989285399803331e+00
1.070915674411830665e+00,1.075633294506549209e+00,1.078761186759347401e+00,1.080986137782578016e+00,1.084885724433407805e+00,1.074687730593103963e+00,1.077508041859357890e+00,1.077821790187403650e+00,1.079546108107017233e+00,1.080036926831521082e+00,1.076904059697088023e+00,1.078908677265524751e+00,1.081675740391668583e+00,1.083713968978697650e+00,1.086550571639102625e+00,1.080058776380598440e+00,1.081350487767472002e+00,1.081963290712533166e+00,1.082550144821541327e+00,1.083067188940224357e+00,1.084429881614935809e+00,1.084926963305107517e+00,1.085126826323895122e+00,1.086958881941089805e+00,1.087562201378489579e+00
1.070911827456767274e+00,1.075629462679809301e+00,1.078757364872405367e+00,1.080982323794251299e+00,1.084881922804237675e+00,1.074683863341019840e+00,1.077504183721736508e+00,1.077817933079711521e+00,1.079542257138569550e+00,1.080033077464417346e+00,1.076900272316345886e+00,1.078904896736193386e+00,1.081671968222314817e+00,1.083710203439283593e+00,1.086546815571192592e+00,1.080054268127075279e+00,1.081345984407371175e+00,1.081958789606341176e+00,1.082545646261002137e+00,1.083062692202897415e+00,1.084426118609191692e+00,1.084923201839901319e+00,1.085123065528158293e+00,1.086955127111051800e+00,1.087558448483000761e+00
