F1 (to 1101), 8.86 MVA,F2 (to 1141), 8.86 MVA,F3 (to 1202), 8.86 MVA
7.817183576854631610e+00,1.937645520703353341e+01,2.018823023125282745e+01
7.815444712152610940e+00,1.937489336422779118e+01,2.017962927750797775e+01
6.261205635845182194e+00,1.547675633105252224e+01,1.618147139487571096e+01
6.259347778078287128e+00,1.547508942881026073e+01,1.617230387139221293e+01
6.066416874732416531e+00,1.497262625164206717e+01,1.566995489315484136e+01
6.065028728817283721e+00,1.497137701819958977e+01,1.566310780475894049e+01
5.958556311463027555e+00,1.472788451631769036e+01,1.540558890857051111e+01
5.958186972555085781e+00,1.472755116152514177e+01,1.540376775202263993e+01
6.074094300545985980e+00,1.506655783030471873e+01,1.574698092971608077e+01
6.074992902449427135e+00,1.506736669957410690e+01,1.575141331498354624e+01
7.138410540887088374e+00,1.773628131638013983e+01,1.850143975675897323e+01
7.140420810789926520e+00,1.773808705053128065e+01,1.851137287421358479e+01
1.106068041579964145e+01,2.747662768209240625e+01,2.856168837720105813e+01
1.106334226672040266e+01,2.747902446716588543e+01,2.857491833799796410e+01
1.710242559445020660e+01,4.283054321706227086e+01,4.434207827375809785e+01
1.710518905993006200e+01,4.283301692711178532e+01,4.435595828119608797e+01
1.562880631319126046e+01,3.927894905539719161e+01,4.074335092225636146e+01
1.563129373410389000e+01,3.928119208239299809e+01,4.075580644571299871e+01
1.087615321061063511e+01,2.710817106632948281e+01,2.822820675099552901e+01
1.087821052501020880e+01,2.711002624011268125e+01,2.823842927702521521e+01
1.213955655850700666e+01,3.042435956956637000e+01,3.164295084021086524e+01
1.214122146302539385e+01,3.042587778834411694e+01,3.165123640511201231e+01
1.085704197924405712e+01,2.707224457855884125e+01,2.818134530302346619e+01
1.085835768325853579e+01,2.707342009531978633e+01,2.818788506560343521e+01
1.161899446691268523e+01,2.903922894472987082e+01,3.018911482701985349e+01
1.161991822835732968e+01,2.904006955906264054e+01,3.019370807744055796e+01
1.241216429639722385e+01,3.106943157580196413e+01,3.226115975705311456e+01
1.241250424434686828e+01,3.106974963737269846e+01,3.226284904638543338e+01
1.322696046594258945e+01,3.286506093420491226e+01,3.420586483359636532e+01
1.322651267369145955e+01,3.286465760615124765e+01,3.420363076375944189e+01
1.270003251331139715e+01,3.152351902538085326e+01,3.282475473272444333e+01
1.269875823039796359e+01,3.152236104587066734e+01,3.281840667214747498e+01
1.974024779348455283e+01,4.938589556660618030e+01,5.116404377434506046e+01
1.973837634741380853e+01,4.938419984886247960e+01,5.115460588938189801e+01
2.652480685861839760e+01,6.680056982926464570e+01,6.908766441583803442e+01
2.652273330854100308e+01,6.679859155960186001e+01,6.907711634437430348e+01
2.918571508238448331e+01,7.354247304633798876e+01,7.603130553846544615e+01
2.918394238199147139e+01,7.354080276636611302e+01,7.602223278794160422e+01
2.577307475959015193e+01,6.478457353433459787e+01,6.703423249374759507e+01
2.577187635466027515e+01,6.478353475472768253e+01,6.702809209829699455e+01
2.247845557600611599e+01,5.621674416366501958e+01,5.825162311429934192e+01
2.247768080694720538e+01,5.621603461303585192e+01,5.824770185579858861e+01
1.980435122876538401e+01,4.959013840181621902e+01,5.129662043385178549e+01
1.980366956157087088e+01,4.958952791714663988e+01,5.129317892120133848e+01
1.550578714366548283e+01,3.876502553312422350e+01,4.011029473762843622e+01
1.550477711301709327e+01,3.876410136032447440e+01,4.010524381209179978e+01
1.063448437282017878e+01,2.653480228738568059e+01,2.754587486778390115e+01
1.063296162842966019e+01,2.653343203928631411e+01,2.753831122560750089e+01
