0% quantile: LV Network: 1101,25% quantile: LV Network: 1101,50% quantile: LV Network: 1101,75% quantile: LV Network: 1101,100% quantile: LV Network: 1101,0% quantile: LV Network: 1110,25% quantile: LV Network: 1110,50% quantile: LV Network: 1110,75% quantile: LV Network: 1110,100% quantile: LV Network: 1110,0% quantile: LV Network: 1116,25% quantile: LV Network: 1116,50% quantile: LV Network: 1116,75% quantile: LV Network: 1116,100% quantile: LV Network: 1116,0% quantile: LV Network: 1117,25% quantile: LV Network: 1117,50% quantile: LV Network: 1117,75% quantile: LV Network: 1117,100% quantile: LV Network: 1117,0% quantile: LV Network: 1137,25% quantile: LV Network: 1137,50% quantile: LV Network: 1137,75% quantile: LV Network: 1137,100% quantile: LV Network: 1137
1.045001104063690622e+00,1.053854619847215623e+00,1.061508198388517510e+00,1.068176727593230346e+00,1.076338880196285430e+00,1.032805786582803753e+00,1.046865962455492571e+00,1.050402423919894579e+00,1.055889920484156530e+00,1.067479569069747836e+00,1.013190464795139967e+00,1.042562852157026043e+00,1.055948593062369545e+00,1.063700820967922178e+00,1.072186774944658527e+00,1.030170519737743096e+00,1.048417724223023484e+00,1.060857777804314672e+00,1.064618943005933405e+00,1.071482036982358110e+00,1.027543290800435605e+00,1.044095225085396761e+00,1.052329389958744921e+00,1.058098719129683785e+00,1.066971873279130900e+00
1.047762194548687686e+00,1.056173655339240236e+00,1.062988363590543717e+00,1.069709718635632800e+00,1.077682171402445821e+00,1.035947580518945088e+00,1.049327746742536593e+00,1.053057919332940795e+00,1.058440959520976055e+00,1.069234821693628268e+00,1.015269282797021111e+00,1.045008900183888034e+00,1.058673255093386834e+00,1.065715375273861731e+00,1.073687984231296522e+00,1.033340357181591118e+00,1.050736973374933880e+00,1.063187689679105041e+00,1.066580824962024110e+00,1.073003828011265703e+00,1.030744624828853873e+00,1.046624550515861785e+00,1.054507440767721071e+00,1.060382601553278015e+00,1.068733860403384250e+00
1.050655755370372813e+00,1.058585030814717998e+00,1.064978854057772262e+00,1.071598726277786628e+00,1.079085073926969951e+00,1.039313720077897685e+00,1.051913903080311741e+00,1.056082456338610864e+00,1.060819052974331100e+00,1.071071508441142628e+00,1.017850989708417586e+00,1.048436431090651100e+00,1.061105263134913379e+00,1.067739576833652393e+00,1.075258472006070720e+00,1.036795147341308843e+00,1.053211144680320288e+00,1.065492656614398737e+00,1.068623953268142746e+00,1.074599638192728746e+00,1.034268216599014467e+00,1.049500091668064350e+00,1.056749910908634682e+00,1.063407369773071931e+00,1.070709203835706447e+00
1.053635529748556010e+00,1.061118942864986092e+00,1.067155039979029274e+00,1.073547042204813007e+00,1.080521729421479282e+00,1.042842211025461152e+00,1.054936960517442790e+00,1.058911423204492941e+00,1.063156009630168874e+00,1.072955940759503735e+00,1.020884144928671411e+00,1.051759865228543811e+00,1.064659870637250538e+00,1.069708646432355970e+00,1.076869546241209896e+00,1.040470496078449880e+00,1.055803201500234323e+00,1.067895761809279254e+00,1.070722369601819324e+00,1.076240142601430305e+00,1.038046967859996839e+00,1.052540718295884581e+00,1.059505279024740565e+00,1.065935107289429862e+00,1.072823706898456519e+00
1.056676517540094506e+00,1.063729862013479188e+00,1.069212921740922306e+00,1.075361807966652039e+00,1.081966400612163204e+00,1.046469749876436817e+00,1.057866517927626315e+00,1.061798888833619836e+00,1.065575973003484833e+00,1.074854500547898439e+00,1.024309827565955677e+00,1.054360763045661731e+00,1.067302709218926671e+00,1.071703682773336386e+00,1.078492654498851788e+00,1.044299610718427918e+00,1.058612590931282682e+00,1.070201645988238193e+00,1.072833660779682896e+00,1.077896025671407854e+00,1.042010961596705476e+00,1.055522793428963713e+00,1.062446673023475840e+00,1.068551816605561644e+00,1.074929861447725177e+00
1.059725927169301585e+00,1.066425776438385764e+00,1.071355628452887343e+00,1.076937842550778290e+00,1.083394009922841184e+00,1.050133026850277318e+00,1.060714025600009158e+00,1.064679784377338567e+00,1.068168079925464919e+00,1.076734334038950580e+00,1.028063103155502311e+00,1.057234446795190852e+00,1.069931885020442675e+00,1.073720108609241164e+00,1.080099957232740548e+00,1.048214721740338362e+00,1.061507618267626629e+00,1.072346279822219639e+00,1.074922882376548650e+00,1.079538588103845287e+00,1.046089010897485627e+00,1.058400942448187276e+00,1.065436402961878359e+00,1.071114675606994027e+00,1.076991685387200359e+00
1.062732182441754381e+00,1.069265172320894353e+00,1.073514241984277584e+00,1.078779134016720542e+00,1.084780545134695240e+00,1.053769782500653562e+00,1.063649860573602002e+00,1.067561628162829734e+00,1.070607540757199549e+00,1.078563874863442740e+00,1.032074628314368470e+00,1.061318457640603619e+00,1.072435716277922779e+00,1.075696546962636280e+00,1.081664753943804458e+00,1.052148300552376403e+00,1.064400526076049625e+00,1.074544637775109557e+00,1.077007604062132362e+00,1.081140209048505829e+00,1.050210005071335662e+00,1.061402454728607836e+00,1.068407679768261787e+00,1.073535940334323868e+00,1.078974985963764288e+00
1.065645745040296966e+00,1.072038853664453839e+00,1.075673318701955150e+00,1.080594287049390090e+00,1.086103438246314390e+00,1.057319808694090035e+00,1.066471285872031771e+00,1.070339447781869957e+00,1.073051468217872451e+00,1.080313337797641937e+00,1.036272113755636548e+00,1.065314107115428399e+00,1.074952969775729628e+00,1.077689300801406569e+00,1.083161880578900726e+00,1.056034202191456384e+00,1.067243000110642548e+00,1.076708833783880603e+00,1.078966517082925902e+00,1.082674780248396917e+00,1.054304138591476425e+00,1.064596169633375444e+00,1.071133985541477207e+00,1.075862492896081823e+00,1.080847870733829819e+00
1.068419818136439048e+00,1.074561135367149367e+00,1.077749106286233216e+00,1.082226693169049181e+00,1.087341864974611161e+00,1.060725824261992800e+00,1.069107281546213040e+00,1.072958904756728060e+00,1.075361781126828120e+00,1.081955113437631733e+00,1.040581887626422342e+00,1.069128059989206569e+00,1.077131924251928830e+00,1.079729213091306095e+00,1.084568023855139396e+00,1.059808709070511723e+00,1.069978784457315868e+00,1.078652775889184401e+00,1.080793998503545739e+00,1.084118056413679865e+00,1.058304036845215235e+00,1.067478712369517968e+00,1.073656693796594563e+00,1.077870657995812165e+00,1.082581138236400564e+00
1.071010867785374021e+00,1.076774091453239768e+00,1.079689278372147898e+00,1.083815009241107408e+00,1.088476950320235614e+00,1.063934120248394510e+00,1.071700124831927114e+00,1.075445546819042697e+00,1.077520048446692469e+00,1.083464046459760466e+00,1.044930055534903701e+00,1.072700946500911412e+00,1.079081065065500056e+00,1.081418489701448937e+00,1.085861934539052109e+00,1.063411301646664420e+00,1.072561952059321255e+00,1.080437694472499155e+00,1.082458906360102668e+00,1.085447900349370443e+00,1.062145558925037703e+00,1.070140531333796385e+00,1.076134550527188205e+00,1.079728414038669815e+00,1.084148554837870870e+00
