Prmy. Sub. Util.,Sdry. Sub. Util.1101 (800 kVA),Sdry. Sub. Util.1110 (800 kVA),Sdry. Sub. Util.1116 (800 kVA),Sdry. Sub. Util.1117 (1000 kVA),Sdry. Sub. Util.1137 (800 kVA)
1.146410842593654600e+01,1.700103702052044596e+01,2.018977314503881360e+01,1.838536989987402492e+01,1.735674225159828410e+01,2.013452014166541204e+01
1.033963025048367257e+01,1.543206875789918797e+01,1.832193472437596427e+01,1.667812747577465160e+01,1.575645996255169656e+01,1.826381066192218228e+01
9.322403236016707950e+00,1.398027210276415389e+01,1.659395716826971423e+01,1.510022679634282738e+01,1.427485559004789728e+01,1.653421225480760981e+01
8.429069582113314141e+00,1.266973986720490153e+01,1.503414221284702101e+01,1.367767594033783851e+01,1.293651312956222199e+01,1.497407462414421886e+01
7.674197213803532591e+00,1.152217180298864818e+01,1.366792805540340616e+01,1.243382852437869879e+01,1.176357584853654892e+01,1.360884881820168246e+01
7.070591858249876793e+00,1.055800768855482907e+01,1.252004309473286803e+01,1.139147097978761636e+01,1.077704063366798870e+01,1.246327583468529987e+01
6.626693659638721812e+00,9.789749668313941555e+00,1.160338521167536108e+01,1.056207982037030213e+01,9.989373489654914451e+00,1.155009481471170751e+01
6.350317436417364902e+00,9.231820297289001331e+00,1.093577925778725835e+01,9.962074193882369144e+00,9.415475995309988022e+00,1.088711302522069957e+01
6.245862379616849758e+00,8.893337900789003214e+00,1.052790795924071787e+01,9.601094991060382000e+00,9.064676343853973250e+00,1.048489527807685207e+01
6.314934712561226959e+00,8.779803609630937089e+00,1.038625726173741981e+01,9.484878304819588379e+00,8.942623360673794153e+00,1.034978457862370149e+01
6.556391889998269384e+00,8.893097956777246793e+00,1.051312109110819470e+01,9.615265829533640840e+00,9.051285116044349266e+00,1.048391254508640458e+01
6.966290697308125779e+00,9.231364999529924731e+00,1.090646629992152761e+01,9.990086612987187920e+00,9.388833290015957900e+00,1.088506948170572741e+01
7.538017219876751440e+00,9.789127097523184773e+00,1.156006374209779963e+01,1.060328521101173926e+01,9.949761936109588589e+00,1.154684133667276491e+01
8.262319076435360898e+00,1.055728744141102915e+01,1.246347929095001028e+01,1.144492520974439920e+01,1.072489131128896567e+01,1.245860682995009050e+01
9.127479730106397682e+00,1.152331585468059671e+01,1.360227620034669371e+01,1.250138719708399471e+01,1.170155818916903101e+01,1.360574553247943719e+01
1.011943679251857553e+01,1.267137509833480813e+01,1.495814232312532077e+01,1.375550351304738328e+01,1.286374470176656892e+01,1.496977036961271068e+01
1.122082620531461039e+01,1.397983824081878623e+01,1.650444576380927586e+01,1.518251051738372936e+01,1.418952401241833527e+01,1.652403306766503377e+01
1.241565900073345219e+01,1.543193562932651197e+01,1.822438805971540532e+01,1.676664686503574231e+01,1.566200594568850057e+01,1.825132068763688054e+01
1.368324185794468661e+01,1.700130563744099277e+01,2.008591908504097034e+01,1.847827669670180839e+01,1.725445639436975398e+01,2.011959294281979638e+01
1.500247794847946992e+01,1.866173427874230484e+01,2.205829180780515486e+01,2.028900018310138265e+01,1.894032500118488827e+01,2.209800707063606140e+01
1.635121868137209944e+01,2.038530852729979870e+01,2.410863736347193864e+01,2.216855159560625310e+01,2.069133087321127107e+01,2.415362332143238433e+01
1.770663617030809078e+01,2.214289147015686154e+01,2.620250251590941559e+01,2.408530196318245231e+01,2.247794019094229512e+01,2.625194300642321821e+01
1.904556535166869224e+01,2.390456157399303549e+01,2.830435201906924547e+01,2.600672511239518059e+01,2.426980743874750956e+01,2.835740896582422366e+01
2.034489970471361531e+01,2.564011839495045919e+01,3.037815751961842636e+01,2.789993991742347745e+01,2.603628315054648468e+01,3.043399199724071735e+01
2.158200239002899679e+01,2.731960698951258948e+01,3.238801894991566854e+01,2.973227563036324383e+01,2.774694125422408320e+01,3.244580808640852609e+01
2.273509200358856219e+01,2.891381194544288391e+01,3.429875958362900690e+01,3.147180918695283580e+01,2.937207534849112633e+01,3.435770890426275770e+01
2.378368424040722928e+01,3.039482070496958244e+01,3.607661561234658620e+01,3.308798149131020239e+01,3.088326738367684499e+01,3.613596575090013374e+01
2.470900500727793769e+01,3.173655459444389493e+01,3.768989693822488363e+01,3.455218459410966858e+01,3.225392421068137594e+01,3.774892542043275512e+01
2.549430786345314459e+01,3.291518731926513652e+01,3.910952272560398768e+01,3.583822895683602638e+01,3.345970249223744020e+01,3.916754052804800068e+01
