MV voltage: 0.0% quantile,MV voltage: 25.0% quantile,MV voltage: 50.0% quantile,MV voltage: 75.0% quantile,MV voltage: 100.0% quantile
1.018925521152341584e+00,1.031082874309729114e+00,1.035945051838242259e+00,1.038075000425501937e+00,1.040820994528133703e+00
1.018925529527280771e+00,1.031083033323323628e+00,1.035945134366893727e+00,1.038075097388347245e+00,1.040821070042907470e+00
1.018968870476833821e+00,1.031900691228528011e+00,1.036641122490963296e+00,1.038626866788664227e+00,1.041350371718876788e+00
1.018968893898831940e+00,1.031901140925289173e+00,1.036641356880656728e+00,1.038627124483684661e+00,1.041350584822841485e+00
1.013376131609947883e+00,1.020258324228240365e+00,1.027847761380566993e+00,1.030825430213630378e+00,1.035242188880708847e+00
1.013377482937462437e+00,1.020259027423658926e+00,1.027848139739726108e+00,1.030825843519631579e+00,1.035242534764405198e+00
1.010018373974389982e+00,1.019371255236253049e+00,1.029483893722452192e+00,1.033617819777271629e+00,1.039372892254464498e+00
1.010019900722528785e+00,1.019372067524268122e+00,1.029484348417628370e+00,1.033618278604409912e+00,1.039373309877244633e+00
1.004083594361884657e+00,1.015068163677044222e+00,1.025784232065783286e+00,1.030168461521049128e+00,1.036712165790007578e+00
1.004084926500359964e+00,1.015069121734438973e+00,1.025784633063086648e+00,1.030168868141874583e+00,1.036712538472039702e+00
1.011898391924670459e+00,1.020809878915311941e+00,1.030481885829829913e+00,1.034695271966006747e+00,1.040093664239876592e+00
1.011899300958096548e+00,1.020810362202127397e+00,1.030482155524435894e+00,1.034695579630303452e+00,1.040093911289497131e+00
1.017946907552973679e+00,1.026641988560286434e+00,1.035080865821687901e+00,1.038614336382115866e+00,1.043438667431114686e+00
1.017946925179874507e+00,1.026642285719300940e+00,1.035081029108796180e+00,1.038614513930527394e+00,1.043438817212580361e+00
1.018248812879561704e+00,1.031202216864520294e+00,1.038561398281114379e+00,1.041725310674278759e+00,1.045890057919700133e+00
1.018248827592533656e+00,1.031202473884017534e+00,1.038561537711800487e+00,1.041725462796747603e+00,1.045890186491765794e+00
1.018691094612344417e+00,1.027274698060048230e+00,1.033095660063424237e+00,1.035558744165142375e+00,1.038892702279687663e+00
1.018691114400505748e+00,1.027275062608948408e+00,1.033095852564937189e+00,1.035558955285391436e+00,1.038892877721660835e+00
1.019149492088214926e+00,1.035044420528805631e+00,1.039072960015249514e+00,1.040677889541612444e+00,1.043029151543976685e+00
1.019149518864274517e+00,1.035044950329008007e+00,1.039073233405836794e+00,1.040678191256624308e+00,1.043029399709441751e+00
