0% quantile: LV Network: 1101,25% quantile: LV Network: 1101,50% quantile: LV Network: 1101,75% quantile: LV Network: 1101,100% quantile: LV Network: 1101,0% quantile: LV Network: 1110,25% quantile: LV Network: 1110,50% quantile: LV Network: 1110,75% quantile: LV Network: 1110,100% quantile: LV Network: 1110,0% quantile: LV Network: 1116,25% quantile: LV Network: 1116,50% quantile: LV Network: 1116,75% quantile: LV Network: 1116,100% quantile: LV Network: 1116,0% quantile: LV Network: 1117,25% quantile: LV Network: 1117,50% quantile: LV Network: 1117,75% quantile: LV Network: 1117,100% quantile: LV Network: 1117,0% quantile: LV Network: 1137,25% quantile: LV Network: 1137,50% quantile: LV Network: 1137,75% quantile: LV Network: 1137,100% quantile: LV Network: 1137
1.062030548639098626e+00,1.069980305658514208e+00,1.073437918838352489e+00,1.075119778324212794e+00,1.078360213045757021e+00,1.058437549386493703e+00,1.066998333098388541e+00,1.068483275703205004e+00,1.071261917709277478e+00,1.075434285369601062e+00,1.059277783626306757e+00,1.065550508176567934e+00,1.070644856363650366e+00,1.073764173982919345e+00,1.076445931979092663e+00,1.063687688445097868e+00,1.069085872660106018e+00,1.071190818959221636e+00,1.074025558073076647e+00,1.076452580162191364e+00,1.059017558738383658e+00,1.066545629544652707e+00,1.068965572946396714e+00,1.071348720920894282e+00,1.074759392932117974e+00
1.062030170593425860e+00,1.069979935898318635e+00,1.073437550103330418e+00,1.075119410194665281e+00,1.078359846269368649e+00,1.058437204795023234e+00,1.066998003863436573e+00,1.068482947386213411e+00,1.071261593188513883e+00,1.075433964154059119e+00,1.059277358529977509e+00,1.065550123836990437e+00,1.070644463679629066e+00,1.073763781367780279e+00,1.076445540823213864e+00,1.063687258668829516e+00,1.069085443854588924e+00,1.071190392002338010e+00,1.074025132005291150e+00,1.076452155274491673e+00,1.059017203194086099e+00,1.066545283020669643e+00,1.068965223737709191e+00,1.071348373893763917e+00,1.074759046930042983e+00
1.063262216498606971e+00,1.072916011471808151e+00,1.076951930784621814e+00,1.081080252618111359e+00,1.085331242989228784e+00,1.054299622134385883e+00,1.067271148568511130e+00,1.071177195695058648e+00,1.073943732220837166e+00,1.079498207115251907e+00,1.057013331557245417e+00,1.065892200230244002e+00,1.073809101613477424e+00,1.078304402058748002e+00,1.082012854697723236e+00,1.059913493917845395e+00,1.070087393802917841e+00,1.075044016277570513e+00,1.078454361061917277e+00,1.082608551086546189e+00,1.058592531346671084e+00,1.067651884750118407e+00,1.070303909296311140e+00,1.074033533571861598e+00,1.080050617797933210e+00
1.063261697572125852e+00,1.072915490831903185e+00,1.076951410736360026e+00,1.081079736014050496e+00,1.085330728283802504e+00,1.054299169846531381e+00,1.067270687507414273e+00,1.071176734126277452e+00,1.073943269649657584e+00,1.079497747020550680e+00,1.057012777640567558e+00,1.065891653545088857e+00,1.073808550583759347e+00,1.078303853687060165e+00,1.082012307909855808e+00,1.059912895712177727e+00,1.070086797462064254e+00,1.075043421581812542e+00,1.078453767707156619e+00,1.082607958766420353e+00,1.058592047294715011e+00,1.067651396335701719e+00,1.070303417138898983e+00,1.074033044101336376e+00,1.080050131107122668e+00
1.046661092068289278e+00,1.060952379664392042e+00,1.065166435191220673e+00,1.069525856538386499e+00,1.075882226718035906e+00,1.030271981558229966e+00,1.048186765049893054e+00,1.054694517559223721e+00,1.060729941296505441e+00,1.070379084521085211e+00,1.031026205857559663e+00,1.045766506713222466e+00,1.058641013653594865e+00,1.066832699585807287e+00,1.073284746790983180e+00,1.034806314925239112e+00,1.052982050243832512e+00,1.063635267665278050e+00,1.067686654569816262e+00,1.073900581062360748e+00,1.014323313097983847e+00,1.047504089796695848e+00,1.055355809224812536e+00,1.061764611958803783e+00,1.072257162289922849e+00
1.046660495591930529e+00,1.060951789277525981e+00,1.065165848831676865e+00,1.069525272305713148e+00,1.075881644170729956e+00,1.030271447789560257e+00,1.048186219600955482e+00,1.054693999039320707e+00,1.060729415149104238e+00,1.070378564129486731e+00,1.031025589959716715e+00,1.045765878991336439e+00,1.058640398886129486e+00,1.066832077342966034e+00,1.073284131152943743e+00,1.034805620074042309e+00,1.052981374022909478e+00,1.063634600673533104e+00,1.067685989544695735e+00,1.073899918011066656e+00,1.014322606191589093e+00,1.047503509349394957e+00,1.055355263742588701e+00,1.061764057124314764e+00,1.072256619129037469e+00
1.046805631013872029e+00,1.063682142665749009e+00,1.068174664122858220e+00,1.072210322397392890e+00,1.078583907091805960e+00,1.036794310247598494e+00,1.048013394677451915e+00,1.060232067231911213e+00,1.067653994064205580e+00,1.075214874459964332e+00,1.032211444592165073e+00,1.052046384475217700e+00,1.062102678576518855e+00,1.069107274321061674e+00,1.077338090505923329e+00,1.042893017693288682e+00,1.059582805529888816e+00,1.064005288475734723e+00,1.069633406410046561e+00,1.075105541444144608e+00,1.032860709217547690e+00,1.051280232141123872e+00,1.058514883457770894e+00,1.063948996160864802e+00,1.075036905633959483e+00
1.046805106864973300e+00,1.063681624558916017e+00,1.068174148071713514e+00,1.072209807722448005e+00,1.078583394707570031e+00,1.036793838099388854e+00,1.048012926065546413e+00,1.060231601899173981e+00,1.067653533130065391e+00,1.075214417074400020e+00,1.032210880626438954e+00,1.052045820886758243e+00,1.062102131189708754e+00,1.069106728328256928e+00,1.077337548055849359e+00,1.042892419021755224e+00,1.059582212945028523e+00,1.064004697328814197e+00,1.069632818857475964e+00,1.075104956531206302e+00,1.032860238658230623e+00,1.051279739426204562e+00,1.058514388528791095e+00,1.063948508596942011e+00,1.075036418896745616e+00
1.066958208186171486e+00,1.074436528882708686e+00,1.077551026152897329e+00,1.080271260560488944e+00,1.084211152260170286e+00,1.049876320083297010e+00,1.065824215957518195e+00,1.072929572429786038e+00,1.076367285028679399e+00,1.081272245139523358e+00,1.059694195339061062e+00,1.064317748611719683e+00,1.073676780537233588e+00,1.078619265428199636e+00,1.083382485575988374e+00,1.059798234037158782e+00,1.070904970546967538e+00,1.075083549444125097e+00,1.078714200637472587e+00,1.082565522396254254e+00,1.051560931089907669e+00,1.065249620075839232e+00,1.071503104689379482e+00,1.075655750665551746e+00,1.082696916384692232e+00
1.066957806966990274e+00,1.074436128298130066e+00,1.077550625820203889e+00,1.080270861847441699e+00,1.084210755337937648e+00,1.049875970321823893e+00,1.065823863468255972e+00,1.072929212836704504e+00,1.076366927313784361e+00,1.081271890898747090e+00,1.059693769344018710e+00,1.064317296391313228e+00,1.073676348464842167e+00,1.078618842147376578e+00,1.083382064331570360e+00,1.059797770963908592e+00,1.070904510612984417e+00,1.075083091051066031e+00,1.078713742977574164e+00,1.082565066418141875e+00,1.051560573855947922e+00,1.065249244035333609e+00,1.071502724505761783e+00,1.075655372355366790e+00,1.082696540529523466e+00
