Prmy. Sub. Util.,Sdry. Sub. Util.1103 (315 kVA),Sdry. Sub. Util.1109 (315 kVA),Sdry. Sub. Util.1131 (800 kVA),Sdry. Sub. Util.1145 (1000 kVA),Sdry. Sub. Util.1166 (500 kVA)
3.511773322724074120e+01,4.656620094414603983e+01,4.738584481094276413e+01,3.648023576219021891e+01,4.476493371467621074e+01,4.372383008673489257e+01
3.961946847126123572e+01,5.337509086710716844e+01,5.432008265113649514e+01,4.094779244164833898e+01,5.367455668418501347e+01,5.287913459353063672e+01
4.090699122786043063e+01,4.933058141426197807e+01,5.534459202734102234e+01,4.564085501143765811e+01,5.529840684099277581e+01,6.085250641390366866e+01
3.312005281890038333e+01,3.945209317316643194e+01,4.558681367405201712e+01,3.825374118194497441e+01,4.755877857701163691e+01,4.970486899470240871e+01
2.901839832614060555e+01,3.251930845595382635e+01,4.137612897067800333e+01,3.351733044041416321e+01,4.245253861108803761e+01,4.555375338088608572e+01
2.957182752320573371e+01,3.241682770885037002e+01,3.952031557523062588e+01,3.365341376101222437e+01,4.186174013573114649e+01,4.773834472436537624e+01
3.088992340023477823e+01,3.655647323463715992e+01,4.115817687092128097e+01,3.515523163347616986e+01,4.184501718384073854e+01,4.837836897890183252e+01
3.036041776051352059e+01,3.576581444169423918e+01,3.963507869761114932e+01,3.420087821942252759e+01,4.093386852021477296e+01,5.192257192374963637e+01
2.516720227084046257e+01,3.599160426314951167e+01,3.353235621499287333e+01,2.906564707006912940e+01,3.129623810029606190e+01,4.348887350061360024e+01
2.401065274020581697e+01,3.431905734061961510e+01,3.134310879462135446e+01,2.777565947633392085e+01,2.999307037580603108e+01,3.958903387070743207e+01
1.864721802188180177e+01,2.569905762441317165e+01,2.171203223259589521e+01,1.912134072340740332e+01,2.258735473779049485e+01,2.876157970163265176e+01
1.600567751840369368e+01,2.065705596367856245e+01,1.707620906994565146e+01,1.625484246732356652e+01,1.888859948526440746e+01,2.340995890642031085e+01
