MV voltage: 0.0% quantile,MV voltage: 25.0% quantile,MV voltage: 50.0% quantile,MV voltage: 75.0% quantile,MV voltage: 100.0% quantile
1.019316444848670677e+00,1.037992804341763442e+00,1.041489141674352359e+00,1.042806063952816942e+00,1.044491273881414495e+00
1.019746226020149082e+00,1.035023497569464546e+00,1.036403175315415037e+00,1.036852282502843448e+00,1.037586965008404194e+00
1.019515349093599310e+00,1.030488194038108318e+00,1.033108011600044396e+00,1.034028165618619655e+00,1.035285146563150072e+00
1.019564241569291596e+00,1.031658467637659893e+00,1.033941988161129366e+00,1.034712359356990907e+00,1.035932778491829298e+00
1.019368686857339945e+00,1.027731844129126326e+00,1.031091005690888629e+00,1.032247505297571255e+00,1.033840093400542726e+00
1.019099523968128640e+00,1.034171476512931065e+00,1.038695183171957304e+00,1.040336731741967169e+00,1.042480299228729423e+00
1.019503206535494755e+00,1.041527310770380632e+00,1.044077859974712474e+00,1.044963616676645835e+00,1.046296704010568623e+00
1.019454607740651664e+00,1.040629140890009019e+00,1.043420526828369166e+00,1.044396664486397119e+00,1.045858309909913908e+00
1.019446476880614183e+00,1.040519113634328807e+00,1.043289727670768885e+00,1.044380230151876532e+00,1.045814176625593506e+00
1.019319923174972109e+00,1.038175908370970513e+00,1.041576924408837090e+00,1.042888892015742641e+00,1.044594903413738951e+00
1.019161441548779079e+00,1.035253623764476272e+00,1.039475871039850841e+00,1.041023963439796862e+00,1.043052560538453077e+00
1.015840353653277850e+00,1.027484455310508693e+00,1.033752421769130070e+00,1.035986684365155508e+00,1.038976376474325392e+00
1.003715688710941967e+00,1.019227509388348718e+00,1.027629086657430246e+00,1.030642457522928268e+00,1.034576142919010566e+00
1.004583320463936946e+00,1.019693697828004453e+00,1.027910144322918606e+00,1.030887064363670724e+00,1.034766046818761609e+00
1.006112646246266173e+00,1.023948340093639331e+00,1.033771416883006777e+00,1.037175975526802851e+00,1.041775973422493173e+00
1.002971496770387771e+00,1.021909964150834904e+00,1.032256099209000855e+00,1.035805823259088321e+00,1.040636783394551124e+00
9.903299915389678354e-01,1.016837072404447539e+00,1.025698438366692056e+00,1.030028618800237439e+00,1.035736797701628298e+00
9.986103267674230066e-01,1.019251433891867675e+00,1.030054524912451530e+00,1.033953023370199009e+00,1.039020531482173215e+00
9.898539608084385710e-01,1.016563702556269710e+00,1.025388084391943178e+00,1.029780708152013169e+00,1.035480741054418896e+00
9.868478581788463488e-01,1.014666797347602678e+00,1.024034920634997459e+00,1.028627911097899528e+00,1.034519869926769919e+00
1.002092034391555364e+00,1.021781285358086766e+00,1.031988205216964660e+00,1.035704985774606790e+00,1.040493914754862192e+00
1.009653014178679475e+00,1.027194265815539520e+00,1.036117836449951479e+00,1.039294375042680851e+00,1.043553177441527202e+00
1.008318235730482071e+00,1.026439235508950887e+00,1.035467982874512805e+00,1.038839968165536698e+00,1.043220530186550254e+00
1.005977368301198327e+00,1.024712695309485166e+00,1.034206184308766430e+00,1.037692035029946780e+00,1.042210728829548350e+00
1.006898873962181806e+00,1.025241137833124316e+00,1.034730732156424970e+00,1.038077872164212545e+00,1.042430772483193602e+00
1.016622098126289675e+00,1.032016931148428185e+00,1.039816311499619728e+00,1.042596430723022660e+00,1.046253317871858490e+00
1.007844734954880028e+00,1.022473323751843521e+00,1.029991276466389216e+00,1.032663614059752710e+00,1.036161896542198368e+00
1.017792945851985209e+00,1.029227035139858693e+00,1.035037526017718923e+00,1.037056794131165471e+00,1.039834016797750671e+00
1.019003302345096618e+00,1.032384627820963852e+00,1.037375146528301206e+00,1.039137865926674342e+00,1.041505359842599177e+00
